GroupName, GroupOrder, AvgElementOrder
C4, 4, 11/4
C3 x C3, 9, 25/9
D12, 12, 11/4
S4, 24, 67/24
C2 x C2 x ((C2 x C2 x C2 x C2) : C2), 128, 351/128
C2 x C2 x ((C4 x C4) : C2), 128, 351/128
C2 x C2 x ((C2 x C2 x C2) : (C2 x C2)), 128, 351/128
C2 x C2 x C2 x ((C2 x C2 x C2 x C2) : C2), 256, 703/256
C2 x C2 x C2 x ((C4 x C4) : C2), 256, 703/256
C2 x C2 x C2 x ((C2 x C2 x C2) : (C2 x C2)), 256, 703/256
