GroupName,GroupOrder,E(G)value
S3,6,2.3999999999999999
S4,24,2.8695652173913042
S5,120,3.9495798319327733
S6,720,4.5479833101529898
S7,5040,6.2179003770589398
S8,40320,7.4213646171780052
S9,362880,9.0704780381339241
S10,3628800,10.753119696075753
A3,3,3.
A4,12,2.7272727272727271
A5,60,3.5593220338983049
A6,360,3.9275766016713094
A7,2520,5.0019849146486699
A8,20160,6.7982538816409548
A9,181440,8.3599997795402317
A10,1814400,9.9822310307710715
