GroupName, GroupOrder, AvgElementOrder, isElemAbel2
(C2 x (C4 : C4)) : C2, 64, 223/64, true
(C2 x C2 x C2) . (C2 x C2 x C2), 64, 239/64, true
((C4 x C2) : C4) : C2, 64, 223/64, true
(C2 x C2 x C2) . (C2 x C2 x C2), 64, 239/64, true
(C2 x C2 x C2) . (C2 x C2 x C2), 64, 239/64, true
C2 x ((C2 x C2 x C2) : C4), 64, 207/64, true
((C4 x C4) : C2) : C2, 64, 223/64, true
C2 x ((C8 x C2) : C2), 64, 271/64, true
C2 x (Q8 : C4), 64, 303/64, true
((C4 x C4) : C2) : C2, 64, 287/64, true
(C2 x (C4 : C4)) : C2, 64, 287/64, true
((C4 x C4) : C2) : C2, 64, 271/64, true
(Q8 : C4) : C2, 64, 303/64, true
C2 x ((C4 x C4) : C2), 64, 287/64, true
(C2 x (C8 : C2)) : C2, 64, 287/64, true
C2 x (C8 : C4), 64, 303/64, true
C2 x (C8 : C4), 64, 303/64, true
(C8 : C4) : C2, 64, 303/64, true
(C8 : C4) : C2, 64, 303/64, true
C4 x D16, 64, 279/64, true
C4 x QD16, 64, 295/64, true
(C4 x Q8) : C2, 64, 295/64, true
(C4 x D8) : C2, 64, 279/64, true
((C4 x C2 x C2) : C2) : C2, 64, 255/64, true
(C2 x QD16) : C2, 64, 287/64, true
((C4 x C2 x C2) : C2) : C2, 64, 271/64, true
((C2 x Q8) : C2) : C2, 64, 271/64, true
(C2 x Q16) : C2, 64, 303/64, true
((C2 x Q8) : C2) : C2, 64, 287/64, true
((C4 x C4) : C2) : C2, 64, 263/64, true
((C4 x C4) : C2) : C2, 64, 279/64, true
((C4 x C4) : C2) : C2, 64, 279/64, true
(C4 : Q8) : C2, 64, 295/64, true
((C2 x C2 x C2 x C2) : C2) : C2, 64, 199/64, true
((C4 x C2 x C2) : C2) : C2, 64, 215/64, true
(C2 x D16) : C2, 64, 263/64, true
(C2 x QD16) : C2, 64, 279/64, true
(Q8 : C4) : C2, 64, 295/64, true
((C8 x C2) : C2) : C2, 64, 279/64, true
(C4 x Q8) : C2, 64, 295/64, true
((C8 x C2) : C2) : C2, 64, 287/64, true
((C4 x C2 x C2) : C2) : C2, 64, 271/64, true
(Q8 : C4) : C2, 64, 303/64, true
((C8 x C2) : C2) : C2, 64, 287/64, true
