GroupName, n, GroupOrder, E(G)value, E(G)value_decimal, o(G)value, o(G)value_decimal, diff
D6, 1,6,12/5,2.3999999999999999,13/6,2.1666666666666665,-0.23333333333333339
D6, 2,36,18/5,3.6000000000000001,127/36,3.5277777777777777,-0.07222222222222241
D6, 3,216,192/43,4.4651162790697674,961/216,4.4490740740740735,-0.016042204995693865
D6, 4,1296,186/37,5.0270270270270272,6511/1296,5.0239197530864192,-0.0031072739406079464
D6, 5,7776,41832/7775,5.3803215434083604,41833/7776,5.3797582304526754,-0.00056331295568501361
D6, 6,46656,37338/6665,5.6021005251312825,261367/46656,5.6020018861454046,-9.8638985877919083e-05
D6, 7,279936,321504/55987,5.7424759319127654,1607521/279936,5.7424589906264289,-1.6941286336447092e-05
D6, 8,1679616,279882/47989,5.8322115484798598,9795871/1679616,5.8322086715058683,-2.8769739914835668e-06
D6, 9,10077696,59358552/10077695,5.8900921292021637,59358553/10077696,5.8900916439630642,-4.8523909956799116e-07
